k_over_T,E_over_T,Gamma_LPM_occ_over_T,Gamma_hard_occ_over_T,Gamma_total_occ_over_T,ImPiR_onshell_over_T2
0.03,0.4392322847879012,0.0011285928685629137,0.0005432270119441462,0.0016718198805070598,-0.0007343172658689519
0.03177456011776975,0.4393570560155802,0.001128518001305288,0.0005512200125477645,0.0016797380138530525,-0.000738004748643935
0.033654089022592155,0.4394969825925321,0.0011284307488299103,0.0005597609000733686,0.001688191648903279,-0.0007419551357309024
0.03564479582857099,0.4396538996411387,0.0011283294840483122,0.0005688877039143198,0.001697217187962632,-0.0007461881552257387
0.03775325693135193,0.43982986302538013,0.0011282123887259119,0.0005786407243844967,0.0017068531131104086,-0.0007507249709437947
0.039986437733561656,0.4400271755273985,0.001128077433259721,0.000589062544863224,0.001717139978122945,-0.0007555882545586183
0.04235171565535042,0.44024841603230286,0.0011279223546713229,0.0006001980062953343,0.0017281203609666573,-0.0007608022516287423
0.04485690450605408,0.440496472042473,0.0011277446327314635,0.0006120941327286935,0.0017398387654601571,-0.0007663928381079308
0.04751028029748908,0.4407745758706438,0.0011275414641479151,0.0006247999939634292,0.0017523414581113444,-0.0007723875629795733
0.05032060858415532,0.44108634488984094,0.0011273097347703053,0.0006383664882322074,0.0017656762230025126,-0.0007788156714630779
0.053297173420666796,0.44143582624729566,0.0011270459897960298,0.0006528460240195723,0.001779892013815602,-0.0007857081017496533
0.056449808032072606,0.4418275464781002,0.0011267464020023252,0.0006682920755296265,0.0017950384775319516,-0.0007930974463617265
0.05978892729838844,0.44226656648167734,0.0011264067380836109,0.0006847585807685418,0.0018111653188521526,-0.0008010178668994339
0.06332556216065366,0.44275854234894524,0.0011260223232434472,0.0007022991445345572,0.0018283214677780042,-0.0008095049480186732
0.06707139606217517,0.4433097925488778,0.0011255880042806852,0.000720966000579805,0.0018465540048604903,-0.0008185954728250034
0.07103880354534435,0.4439273719981164,0.0011250981115241737,0.0007408086775588086,0.0018659067890829822,-0.0008283270972710519
0.07524089113153268,0.44461915354409454,0.001124546420115311,0.0007618723017895016,0.0018864187219048126,-0.0008387378953630504
0.07969154061911515,0.44539391738802186,0.0011239261113194913,0.0007841954559442952,0.0019081215672637865,-0.0008498657396961897
0.08440545494265882,0.4462614489557407,0.0011232297347741615,0.0008078074961079597,0.0019310372308821212,-0.0008617474726409366
0.08939820674477401,0.44723264568810417,0.0011224491728625931,0.0008327252096455283,0.0019551743825081216,-0.0008744178118707126
0.09468628982108776,0.448319633163754,0.001121575608750293,0.000858948672372749,0.001980524281123042,-0.0008879079191849898
0.10028717360829079,0.44953589088118356,0.0011205973951176507,0.0008864561348457167,0.0020070535299633674,-0.0009022425966383066
