alpha_s,M_D_over_T,y_D,p_over_T,Gamma_g_split_over_T,Gamma_q_split_over_T,Gamma_D_split_over_T,Gamma_g_to_qq_over_T,Gamma_g_to_DD_over_T,Gamma_H_to_qD_over_T,Gamma_g_elastic_over_T,Gamma_q_elastic_over_T,Gamma_QCD_slow_over_T,Gamma_kinetic_over_T,D_energy_weight,f_a_GeV,intrinsic_rate_dlnfa
0.02,0,0.1,3.0,0.0675003131635809,0.05282029756198897,0.052648189403693424,0.0001381999358290853,1.9784715325936457e-05,1.114222248741315e-05,0.04876922456132313,0.004306668261326952,0.05695485766502038,1.114222248741315e-05,0.9937692908551888,1000000000.0,0.0
0.02,0,0.1,3.0,0.0675003131635809,0.05282029756198897,0.052648189403693424,0.0001381999358290853,1.9784715325936457e-05,1.114222248741315e-05,0.04876922456132313,0.004306668261326952,0.05695485766502038,1.114222248741315e-05,0.9937692908551888,24350000000.0,0.0
0.02,0,0.1,3.0,0.0675003131635809,0.05282029756198897,0.052648189403693424,0.0001381999358290853,1.9784715325936457e-05,1.114222248741315e-05,0.04876922456132313,0.004306668261326952,0.05695485766502038,1.114222248741315e-05,0.9937692908551888,1000000000000.0,0.0
0.02,0,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05127429460811677,0.0001381999358290853,2.0126941268578045e-05,9.226485835534941e-05,0.04876922456132313,0.004306668261326952,0.05558096286944372,9.226485835534941e-05,0.9933949773285496,1000000000.0,0.0
0.02,0,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05127429460811677,0.0001381999358290853,2.0126941268578045e-05,9.226485835534941e-05,0.04876922456132313,0.004306668261326952,0.05558096286944372,9.226485835534941e-05,0.9933949773285496,24350000000.0,0.0
0.02,0,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05127429460811677,0.0001381999358290853,2.0126941268578045e-05,9.226485835534941e-05,0.04876922456132313,0.004306668261326952,0.05558096286944372,9.226485835534941e-05,0.9933949773285496,1000000000000.0,0.0
0.02,0,0.6,3.0,0.0675003131635809,0.05282029756198897,0.046681366358470804,0.0001381999358290853,2.13865249867392e-05,0.00029289010630790754,0.04876922456132313,0.004306668261326952,0.050988034619797756,0.00029289010630790754,0.9921284887657891,1000000000.0,0.0
0.02,0,0.6,3.0,0.0675003131635809,0.05282029756198897,0.046681366358470804,0.0001381999358290853,2.13865249867392e-05,0.00029289010630790754,0.04876922456132313,0.004306668261326952,0.050988034619797756,0.00029289010630790754,0.9921284887657891,24350000000.0,0.0
0.02,0,0.6,3.0,0.0675003131635809,0.05282029756198897,0.046681366358470804,0.0001381999358290853,2.13865249867392e-05,0.00029289010630790754,0.04876922456132313,0.004306668261326952,0.050988034619797756,0.00029289010630790754,0.9921284887657891,1000000000000.0,0.0
0.02,0.01,0.1,3.0,0.0675003131635809,0.05282029756198897,0.05262065955303847,0.0001381999358290853,1.979143287771277e-05,1.1145011243414598e-05,0.04876922456132313,0.004306668261326952,0.05692732781436542,1.1145011243414598e-05,0.9937618090091279,1000000000.0,0.0
0.02,0.01,0.1,3.0,0.0675003131635809,0.05282029756198897,0.05262065955303847,0.0001381999358290853,1.979143287771277e-05,1.1145011243414598e-05,0.04876922456132313,0.004306668261326952,0.05692732781436542,1.1145011243414598e-05,0.9937618090091279,24350000000.0,0.0
0.02,0.01,0.1,3.0,0.0675003131635809,0.05282029756198897,0.05262065955303847,0.0001381999358290853,1.979143287771277e-05,1.1145011243414598e-05,0.04876922456132313,0.004306668261326952,0.05692732781436542,1.1145011243414598e-05,0.9937618090091279,1000000000000.0,0.0
0.02,0.01,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05124687230781676,0.0001381999358290853,2.0133920965373318e-05,9.228591744461491e-05,0.04876922456132313,0.004306668261326952,0.05555354056914371,9.228591744461491e-05,0.9933874865037985,1000000000.0,0.0
0.02,0.01,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05124687230781676,0.0001381999358290853,2.0133920965373318e-05,9.228591744461491e-05,0.04876922456132313,0.004306668261326952,0.05555354056914371,9.228591744461491e-05,0.9933874865037985,24350000000.0,0.0
0.02,0.01,0.3,3.0,0.0675003131635809,0.05282029756198897,0.05124687230781676,0.0001381999358290853,2.0133920965373318e-05,9.228591744461491e-05,0.04876922456132313,0.004306668261326952,0.05555354056914371,9.228591744461491e-05,0.9933874865037985,1000000000000.0,0.0
0.02,0.01,0.6,3.0,0.0675003131635809,0.05282029756198897,0.04665437565495752,0.0001381999358290853,2.139451402536696e-05,0.00029294073739003217,0.04876922456132313,0.004306668261326952,0.05096104391628447,0.00029294073739003217,0.992120969689779,1000000000.0,0.0
