frame,video_time_s,time_s,disk_mass_msun,dynamical_ejecta_mass_msun,post_merger_ejecta_mass_msun,total_ejecta_mass_msun,magnetic_to_internal_energy_ratio,neutrino_luminosity_erg_s,north_jet_luminosity_erg_s,south_jet_luminosity_erg_s,north_jet_strength,south_jet_strength,jet_half_opening_angle_deg,black_hole_horizon_radius_km
28,3.5,0.06339,0.062,0.0016,0.0,0.0016,0.0031561446181158494,8.006752036708178e+52,9.490328633148186e+45,4.618884983177935e+47,0.0009490328633148187,0.04618884983177935,5.5,6.748804160013962
29,3.625,0.06477,0.062,0.0016,0.0,0.0016,0.003358150695976666,8.032252597447918e+52,9.883059852970944e+45,4.903233884602753e+47,0.0009883059852970944,0.049032338846027534,5.5,6.748804160013962
30,3.75,0.06662,0.062,0.0016,0.0,0.0016,0.0036385602341745555,8.07017905176715e+52,1.043513696916242e+46,5.310540398519428e+47,0.001043513696916242,0.05310540398519428,5.5,6.748804160013962
31,3.875,0.06846,0.062,0.0016,0.0,0.0016,0.003926945008247726,8.111456795656333e+52,1.1014783076484012e+46,5.747173062650111e+47,0.0011014783076484012,0.057471730626501114,5.5,6.748804160013962
32,4.0,0.07031,0.062,0.0016,0.0,0.0016,0.0042246396959478094,8.155680773075519e+52,1.1630005730898275e+46,6.219999350940659e+47,0.0011630005730898275,0.06219999350940659,5.5,6.748804160013962
33,4.125,0.07169,0.062,0.0016,0.0,0.0016,0.004450561047552541,8.189885999338213e+52,1.2111174278713373e+46,6.5960999353787334e+47,0.0012111174278713374,0.06596099935378734,5.5,6.748804160013962
34,4.25,0.07353,0.062,0.0016,0.0,0.0016,0.004755195893532669,8.236304425534678e+52,1.2783800981362735e+46,7.130471802597033e+47,0.0012783800981362736,0.07130471802597034,5.5,6.748804160013962
35,4.375,0.07440000000000001,0.062,0.0016,0.0,0.0016,0.004900013331200347,8.258302047078277e+52,1.3114702424525779e+46,7.396823951740505e+47,0.0013114702424525779,0.07396823951740505,5.5,6.748804160013962
36,4.5,0.07440000000000001,0.062,0.0016,0.0,0.0016,0.004900013331200347,8.258302047078277e+52,1.3114702424525779e+46,7.396823951740505e+47,0.0013114702424525779,0.07396823951740505,5.5,6.748804160013962
37,4.625,0.07440000000000001,0.062,0.0016,0.0,0.0016,0.004900013331200347,8.258302047078277e+52,1.3114702424525779e+46,7.396823951740505e+47,0.0013114702424525779,0.07396823951740505,5.5,6.748804160013962
38,4.75,0.07728,0.062,0.0016,0.0,0.0016,0.005379270059740935,8.329553727860052e+52,1.4272346909209145e+46,8.345040803082395e+47,0.0014272346909209145,0.08345040803082394,5.5,6.748804160013962
39,4.875,0.09573000000000001,0.05782175410825212,0.0016,0.0,0.0016,0.007993120169437998,8.464429146798088e+52,2.4531133559131566e+46,1.7397301051220297e+48,0.002453113355913157,0.17397301051220299,5.5,6.748804160013962
40,5.0,0.11418,0.05328693870293951,0.0016,0.0001634548131807511,0.0017634548131807513,0.009316298975629682,7.539269988078134e+52,4.2132696736352816e+46,3.275932023520283e+48,0.004213269673635282,0.3275932023520283,5.5,6.748804160013962
41,5.125,0.13263,0.04911691907840279,0.0016,0.00036803420028493614,0.0019680342002849362,0.009789998107575366,5.888087222609498e+52,7.227222181539917e+46,5.2985082197178255e+48,0.007227222181539917,0.5298508219717826,5.5,6.748804160013962
42,5.25,0.14646,0.04621258391081848,0.0016,0.0005155991003732328,0.002115599100373233,0.009915407539484734,4.7625562376665035e+52,1.0815694960254797e+47,6.787823974616809e+48,0.010815694960254797,0.678782397461681,5.5,6.748804160013962
43,5.375,0.16491,0.04261164914403674,0.0016,0.0007050441407942155,0.0023050441407942157,0.009975125335223958,3.7734105303793563e+52,1.8465096607981846e+47,8.301679725072313e+48,0.018465096607981846,0.8301679725072313,5.5,6.748804160013962
44,5.5,0.18336000000000002,0.039300385663153935,0.0016,0.0008863472717098561,0.0024863472717098563,0.009992716498248186,3.2162500582933163e+52,3.1353062588346843e+47,9.187478587687525e+48,0.031353062588346844,0.9187478587687525,5.5,6.748804160013962
45,5.625,0.20181,0.03625549133710998,0.0016,0.0010598584135522006,0.0026598584135522005,0.009997869988565227,2.838324388047792e+52,5.2752903237123e+47,9.631761616735973e+48,0.052752903237123006,0.9631761616735973,5.5,6.748804160013962
46,5.75,0.22025999999999998,0.033455538536524373,0.0016,0.0012259124479827618,0.002825912447982762,0.009999377319602846,2.52601188756904e+52,8.744054860330206e+47,9.837411795119916e+48,0.08744054860330207,0.9837411795119916,5.5,6.748804160013962
47,5.875,0.23409,0.03150542747746181,0.0016,0.0013456886744484594,0.0029456886744484594,0.009999752336521216,2.3166879628023602e+52,1.258095049952185e+48,9.912625724131475e+48,0.1258095049952185,0.9912625724131475,5.5,6.748804160013962
48,6.0,0.25254,0.029087585766202063,0.0016,0.00149945838561073,0.0030994583856107302,0.00999992760853456,2.064457990930002e+52,1.984703329575756e+48,9.962039842112926e+48,0.1984703329575756,0.9962039842112926,5.5,6.748804160013962
49,6.125,0.27099,0.02686424336219486,0.0016,0.0016466194303747484,0.0032466194303747485,0.00999997884040356,1.8397217996908373e+52,2.9875462144575506e+48,9.983554397860051e+48,0.2987546214457551,0.9983554397860052,5.5,6.748804160013962
50,6.25,0.29058999999999996,0.024697907409506167,0.0016,0.001796031109300472,0.003396031109300472,0.009999994271644958,1.6277255407865737e+52,4.312471293311306e+48,9.993246105511242e+48,0.43124712933113063,0.9993246105511242,5.5,6.748804160013962
51,6.375,0.30327,0.023395808247528932,0.0016,0.0018890423628276074,0.0034890423628276077,0.009999997540162219,1.5037801519758055e+52,5.240256009406388e+48,9.99620360637662e+48,0.5240256009406389,0.999620360637662,5.5,6.748804160013962
52,6.5,0.32172,0.021630331542199246,0.0016,0.002019459989657947,0.003619459989657947,0.00999999928100755,1.3401014064610358e+52,6.544874694258387e+48,9.998358466689251e+48,0.6544874694258388,0.9998358466689251,5.5,6.748804160013962
53,6.625,0.34017000000000003,0.02000687571216425,0.0016,0.002144272568643305,0.003744272568643305,0.009999999789843832,1.1942464594305197e+52,7.652121164105799e+48,9.999290299634724e+48,0.76521211641058,0.9999290299634724,5.5,6.748804160013962
54,6.75,0.35862,0.018514016121257103,0.0016,0.002263720991771276,0.0038637209917712764,0.00999999993857291,1.0642741583367003e+52,8.486584553383459e+48,9.999693184439439e+48,0.8486584553383459,0.999969318443944,5.5,6.748804160013962
55,6.875,0.37245,0.01747426930936556,0.0016,0.0023498801834380646,0.0039498801834380644,0.009999999975569048,9.762158077474215e+51,8.938687439606099e+48,9.999836367224704e+48,0.8938687439606099,0.9999836367224705,5.5,6.748804160013962
56,7.0,0.39089999999999997,0.01618514108292026,0.0016,0.0024604920670105624,0.004060492067010563,0.009999999992859014,8.699850940206007e+51,9.354464875429883e+48,9.999929260956104e+48,0.9354464875429883,0.9999929260956105,5.5,6.748804160013962
57,7.125,0.40935000000000005,0.014999714660375373,0.0016,0.0025663501077573974,0.004166350107757398,0.009999999997912743,7.75321664597468e+51,9.614385088817273e+48,9.999969419415314e+48,0.9614385088817273,0.9999969419415314,5.5,6.748804160013962
58,7.25,0.4278,0.013909647920356495,0.0016,0.002667658614843925,0.0042676586148439255,0.00999999999938991,6.909657706663342e+51,9.772198816068008e+48,9.999986780001874e+48,0.9772198816068008,0.9999986780001875,5.5,6.748804160013962
59,7.375,0.44625,0.012907269809748451,0.0016,0.0027646131167002974,0.004364613116700298,0.009999999999821676,6.157948636370582e+51,9.866324913798438e+48,9.99999428499553e+48,0.9866324913798439,0.999999428499553,5.5,6.748804160013962
60,7.5,0.46008,0.01220913352743321,0.0016,0.0028345472463409353,0.004434547246340935,0.009999999999929078,5.648648236986575e+51,9.910599628398923e+48,9.999996952081244e+48,0.9910599628398923,0.9999996952081244,5.5,6.748804160013962
61,7.625,0.47852999999999996,0.011343550505542636,0.0016,0.002924329260957211,0.004524329260957211,0.00999999999997927,5.034238085504821e+51,9.947844542560689e+48,9.999998682385649e+48,0.994784454256069,0.9999998682385649,5.5,6.748804160013962
62,7.75,0.49698000000000003,0.010547597888878036,0.0016,0.003010252652320071,0.004610252652320071,0.00999999999999394,4.4867224783505505e+51,9.969620489477067e+48,9.999999430395772e+48,0.9969620489477068,0.9999999430395773,5.5,6.748804160013962
63,7.875,0.51658,0.009772053480149357,0.0016,0.003097490128671937,0.004697490128671937,0.00999999999999836,3.970226763182175e+51,9.982907672530507e+48,9.999999766301289e+48,0.9982907672530508,0.999999976630129,5.5,6.748804160013962
64,8.0,0.52927,0.009305547176775291,0.0016,0.0031518390926209084,0.004751839092620908,0.009999999999999296,3.668015934776199e+51,9.988225608691723e+48,9.999999868735475e+48,0.9988225608691723,0.9999999868735476,5.5,6.748804160013962
65,8.125,0.54771,0.008673866788796976,0.0016,0.00322794426590306,0.00482794426590306,0.009999999999999794,3.269444531500557e+51,9.993151244023917e+48,9.999999943228596e+48,0.9993151244023918,0.9999999943228597,5.5,6.748804160013962
66,8.25,0.56616,0.008092672496083997,0.0016,0.0033008189868481553,0.004900818986848156,0.00999999999999994,2.9140585002776962e+51,9.996018308100361e+48,9.999999975457743e+48,0.9996018308100362,0.9999999975457743,5.5,6.748804160013962
67,8.375,0.58461,0.0075582314241403395,0.0016,0.0033705617209022595,0.00497056172090226,0.009999999999999983,2.5973588987969684e+51,9.997685423960132e+48,9.999999989390391e+48,0.9997685423960132,0.9999999989390391,5.5,6.748804160013962
68,8.5,0.59845,0.007185743151270498,0.0016,0.003420903543135737,0.005020903543135737,0.009999999999999993,2.382632978157754e+51,9.998459287283383e+48,9.99999999434427e+48,0.9998459287283383,0.9999999994344271,5.5,6.748804160013962
69,8.625,0.6169,0.00672425852162485,0.0016,0.003485485320808454,0.005085485320808454,0.009999999999999998,2.1237793578652597e+51,9.999104468086531e+48,9.999999997555031e+48,0.9999104468086532,0.9999999997555031,5.5,6.748804160013962
70,8.75,0.63534,0.006300117766749774,0.0016,0.003547258753818606,0.005147258753818606,0.01,1.8932180266160364e+51,9.99947933730854e+48,9.999999998942558e+48,0.999947933730854,0.9999999998942559,5.5,6.748804160013962
71,8.875,0.65379,0.005909875817289675,0.0016,0.0036064100768928692,0.0052064100768928695,0.01,1.6876321827452846e+51,9.999697380223875e+48,9.99999999954287e+48,0.9999697380223875,0.999999999954287,5.5,6.748804160013962
72,9.0,0.6722400000000001,0.005551026240819667,0.0016,0.0036630192129638657,0.005263019212963866,0.01,1.5044201358114963e+51,9.99982411281979e+48,9.999999999802382e+48,0.999982411281979,0.9999999999802383,5.5,6.748804160013962
73,9.125,0.68608,0.005300919604229662,0.0016,0.0037038809185383267,0.0053038809185383265,0.01,1.3801965715603684e+51,9.999882927918531e+48,9.999999999894654e+48,0.9999882927918531,0.9999999999894655,5.5,6.748804160013962
74,9.25,0.70453,0.004991056510636404,0.0016,0.003756300983360355,0.005356300983360355,0.01,1.2304393754738364e+51,9.999931956468455e+48,9.999999999954458e+48,0.9999931956468456,0.9999999999954459,5.5,6.748804160013962
75,9.375,0.72297,0.00470626790017827,0.0016,0.003806441556744407,0.005406441556744407,0.01,1.097045079463378e+51,9.999960440827955e+48,9.999999999980304e+48,0.9999960440827956,0.9999999999980305,5.5,6.748804160013962
76,9.5,0.74142,0.004444240586717321,0.0016,0.003854453802637904,0.005454453802637904,0.01,9.780955040472654e+50,9.99997700786559e+48,9.999999999991484e+48,0.999997700786559,0.9999999999991485,5.5,6.748804160013962
77,9.625,0.75526,0.00426161595968251,0.0016,0.0038891100859135986,0.0054891100859135985,0.01,8.974411800970184e+50,9.999984696307783e+48,9.999999999995461e+48,0.9999984696307783,0.9999999999995461,5.5,6.748804160013962
78,9.75,0.7737,0.004035475507001512,0.0016,0.003933545857616269,0.005533545857616269,0.01,8.002548730909312e+50,9.999991102753738e+48,9.999999999998037e+48,0.9999991102753738,0.9999999999998037,5.5,6.748804160013962
79,9.875,0.79216,0.003827300878386386,0.0016,0.003976118013757592,0.005576118013757592,0.01,7.1354514490016385e+50,9.999994830370532e+48,9.999999999999152e+48,0.9999994830370532,0.9999999999999152,5.5,6.748804160013962
80,10.0,0.8106,0.003636080035507085,0.0016,0.004016816368645336,0.005616816368645336,0.01,6.36349214438742e+50,9.999996994486932e+48,9.999999999999633e+48,0.9999996994486933,0.9999999999999634,5.5,6.748804160013962
81,10.125,0.82905,0.003460142227963452,0.0016,0.004055787191881928,0.005655787191881928,0.01,5.675079926897693e+50,9.999998253172371e+48,9.999999999999842e+48,0.9999998253172372,0.9999999999999842,5.5,6.748804160013962
82,10.25,0.84289,0.003337519223286627,0.0016,0.004083917179647345,0.005683917179647345,0.01,5.2082695611938766e+50,9.999998837302665e+48,9.999999999999915e+48,0.9999998837302666,0.9999999999999916,5.5,6.748804160013962
83,10.375,0.86134,0.0031855986501546653,0.0016,0.004120004165282807,0.005720004165282807,0.01,4.6454499760964165e+50,9.999999324231295e+48,9.999999999999964e+48,0.9999999324231296,0.9999999999999964,5.5,6.748804160013962
84,10.5,0.87978,0.0030459716670875985,0.0016,0.004154521904961446,0.0057545219049614455,0.01,4.144061117949058e+50,9.999999607122464e+48,9.999999999999984e+48,0.9999999607122465,0.9999999999999984,5.5,6.748804160013962
85,10.625,0.89823,0.0029175041584998574,0.0016,0.004187574462865892,0.005787574462865892,0.01,3.696902828195187e+50,9.999999771656538e+48,9.999999999999993e+48,0.9999999771656539,0.9999999999999993,5.5,6.748804160013962
86,10.75,0.91207,0.002827966428512698,0.0016,0.0042114325180017355,0.005811432518001735,0.01,3.3936644970753957e+50,9.99999984801344e+48,9.999999999999996e+48,0.9999999848013441,0.9999999999999996,5.5,6.748804160013962
87,10.875,0.93052,0.0027170359934574314,0.0016,0.004242039189435689,0.005842039189435689,0.01,3.028031043001528e+50,9.999999911664237e+48,9.999999999999997e+48,0.9999999911664238,0.9999999999999998,5.5,6.748804160013962
88,11.0,0.94897,0.0026150291751430767,0.0016,0.004271330456948161,0.005871330456948161,0.01,2.7021082504353242e+50,9.999999948658571e+48,1e+49,0.9999999948658571,1.0,5.5,6.748804160013962
89,11.125,0.96741,0.002521276867605823,0.0016,0.004299347990944109,0.005899347990944109,0.01,2.4117228541013843e+50,9.999999970151187e+48,1e+49,0.9999999970151188,1.0,5.5,6.748804160013962
90,11.25,0.98125,0.002455897576726575,0.0016,0.004319582866252684,0.005919582866252684,0.01,2.2146669191814383e+50,9.99999998013248e+48,1e+49,0.9999999980132481,1.0,5.5,6.748804160013962
91,11.375,0.9997,0.0023748976096525844,0.0016,0.004345541485953672,0.005945541485953672,0.01,1.9770391917670062e+50,9.999999988452843e+48,1e+49,0.9999999988452843,1.0,5.5,6.748804160013962
92,11.5,1.0181499999999999,0.0023004135519576092,0.0016,0.004370384464242145,0.005970384464242145,0.01,1.7651919609432387e+50,9.675385589396883e+48,9.675385595890322e+48,0.9675385589396884,0.9675385595890322,5.520964396427734,6.748804160013962
93,11.625,1.0366,0.002231921242008387,0.0016,0.00439415974880468,0.0059941597488046795,0.01,1.576320213252834e+50,9.356203863254177e+48,9.356203866903711e+48,0.9356203863254177,0.9356203866903712,5.582546198875,6.748804160013962
94,11.75,1.05504,0.002168971409708866,0.0016,0.0044169011628868975,0.006016901162886897,0.01,1.4080104964955424e+50,9.047716138660041e+48,9.047716140711846e+48,0.9047716138660042,0.9047716140711847,5.680567482368,6.748804160013962
95,11.875,1.06888,0.002125072592657618,0.0016,0.0044333255090967,0.0060333255090967,0.01,1.2937747330740965e+50,8.822883369240695e+48,8.82288337057245e+48,0.8822883369240696,0.8822883370572451,5.775611286664001,6.748804160013962
96,12.0,1.08733,0.002070685298333708,0.0016,0.004454395733182386,0.006054395733182386,0.01,1.1559924246530705e+50,8.531824874949847e+48,8.531824875698339e+48,0.8531824874949848,0.853182487569834,5.9276444999709526,6.748804160013962
97,12.125,1.10578,0.0020206731006176845,0.0016,0.00447456040778849,0.00607456040778849,0.01,1.033128837180849e+50,8.250368122133573e+48,8.250368122554251e+48,0.8250368122133573,0.8250368122554251,6.104846967752125,6.748804160013962
98,12.25,1.12423,0.0019746840520452314,0.0016,0.00449385845133641,0.00609385845133641,0.01,9.235615855495512e+49,7.978196358615558e+48,7.978196358851994e+48,0.7978196358615559,0.7978196358851994,6.303097160362985,6.748804160013962
99,12.375,1.1380599999999998,0.0019426536006039979,0.0016,0.004507778298826218,0.006107778298826218,0.01,8.492746508410339e+49,7.780082258109034e+48,7.780082258262543e+48,0.7780082258109035,0.7780082258262544,6.463029019463873,6.748804160013962
100,12.5,1.15651,0.001902940702630728,0.0016,0.0045256487142758435,0.006125648714275843,0.01,7.595883124990711e+49,7.523424775925113e+48,7.52342477601139e+48,0.7523424775925113,0.752342477601139,6.688190513185046,6.748804160013962
101,12.625,1.17496,0.0018664224435408978,0.0016,0.004542751100617448,0.006142751100617448,0.01,6.795912811009741e+49,7.27523417889481e+48,7.2752341789433e+48,0.727523417889481,0.7275234178943301,6.9230672006319995,6.748804160013962
102,12.75,1.19341,0.0018328418358539548,0.0016,0.00455911846596505,0.00615911846596505,0.01,6.082304722196815e+49,7.035231152576309e+48,7.035231152603561e+48,0.7035231152576309,0.7035231152603562,7.163537552160204,6.748804160013962
103,12.875,1.21186,0.0018019625650253406,0.0016,0.004574782399820307,0.006174782399820307,0.01,5.44567433749616e+49,6.803145596839204e+48,6.803145596854523e+48,0.6803145596839205,0.6803145596854523,7.405480038125124,6.748804160013962
104,13.0,1.22569,0.0017804557712229328,0.0016,0.00458608093222408,0.00618608093222408,0.01,5.013876384482062e+49,6.634210287348901e+48,6.634210287358847e+48,0.6634210287348902,0.6634210287358847,7.585326820280265,6.748804160013962
105,13.125,1.24414,0.0017537906113648468,0.0016,0.004600586081664426,0.006200586081664426,0.01,4.492360705219561e+49,6.415354026897924e+48,6.415354026903513e+48,0.6415354026897924,0.6415354026903514,7.819931281724875,6.748804160013962
106,13.25,1.2625899999999999,0.0017292704865171273,0.0016,0.004614467833343384,0.0062144678333433834,0.01,4.026957277708684e+49,6.203717625428372e+48,6.203717625431514e+48,0.6203717625428372,0.6203717625431514,8.044675346502295,6.748804160013962
107,13.375,1.28104,0.0017067228428597264,0.0016,0.004627752979454338,0.0062277529794543375,0.01,3.6115740171198605e+49,5.999062906689546e+48,5.999062906691312e+48,0.5999062906689546,0.5999062906691311,8.255437484967999,6.748804160013962
108,13.5,1.29487,0.001691018860548702,0.0016,0.00463733567146584,0.00623733567146584,0.01,3.3297199458668716e+49,5.850094531047212e+48,5.850094531048358e+48,0.5850094531047212,0.5850094531048359,8.401777805466859,6.748804160013962
109,13.625,1.31332,0.001671548306147184,0.0016,0.004649638010805172,0.006249638010805172,0.01,2.9891503394283867e+49,5.657105500414325e+48,5.657105500414969e+48,0.5657105500414326,0.565710550041497,8.578163595241001,6.748804160013962
110,13.75,1.33177,0.0016536440285309833,0.0016,0.004661411624064464,0.006261411624064464,0.01,2.685055107132438e+49,5.4704829935608196e+48,5.470482993561182e+48,0.547048299356082,0.5470482993561182,8.729234927599515,6.748804160013962
111,13.875,1.35022,0.0016371800311353575,0.0016,0.004672679234667286,0.006272679234667286,0.01,2.4134790299989013e+49,5.2900169849485285e+48,5.2900169849487316e+48,0.5290016984948529,0.5290016984948732,8.850870272897875,6.748804160013962
112,14.0,1.36405,0.0016257131866260956,0.0016,0.004680806660682071,0.006280806660682071,0.01,2.229098195720542e+49,5.158655595740219e+48,5.158655595740351e+48,0.5158655595740219,0.5158655595740351,8.920267852955078,6.748804160013962
113,14.125,1.3825,0.0016114960399553054,0.0016,0.004691240717486693,0.0062912407174866925,0.01,2.006170845067073e+49,4.988476475127839e+48,4.988476475127913e+48,0.49884764751278393,0.49884764751279137,8.980488525390625,6.748804160013962
114,14.25,1.39864,0.0016,0.0016,0.0047,0.0063,0.01,1.8306999535390008e+49,4.844214435562862e+48,4.8442144355629066e+48,0.4844214435562862,0.4844214435562907,8.999878895127999,6.748804160013962
