T_target_GeV,T_GeV,redshift,x,dx_dln_a,m_over_H
100174217.37223634,100174217.37223622,1.2844118012686558e+21,1.5707963267948966,0.0,5.308712104626575e-36
400696.8694889454,399421.6046718339,5.121296039836602e+18,0.07854294877300662,0.6310870715732061,3.3391658170672495e-31
200348.43474447267,201616.08972198793,2.5850771960843044e+18,0.06062171903949053,-0.4615421562577259,1.3105413102875031e-30
10.0,9.993338859389985,117820536516699.1,0.12498666692785544,0.0027243207076640403,6.045692936886239e-22
1.0,1.00173193628451,11274828918291.18,-0.028770801353752158,0.0331590675314978,6.395974498008347e-20
0.2,0.20034691737021737,1810026040133.2756,0.010009288493695956,0.013118942074939454,2.167196357222384e-18
0.15,0.14962160206053085,1183372321410.2593,0.005891323824456486,0.06784828134607129,4.753900951228464e-18
0.1,0.09932927854925673,692486024731.0852,-0.004801649727102752,0.04456960611861642,1.3310321858708686e-17
0.01,0.009941730687627957,59313424606.243805,0.008943388236472952,-0.00020925762144303556,1.6976912822838434e-15
0.001,0.0010077438068981654,5999505467.417248,0.008755113763133017,-2.140164128961856e-05,1.6558621031677336e-13
1e-06,1.0077016347118909e-06,4290548.2134752525,0.008412794342082006,-0.00031739946411643805,2.945762720441056e-07
1e-09,1.0050098806236048e-09,4278.088377262888,0.0001581488964087487,-0.0008489248855005806,0.22106787806970593
1e-10,9.979488656364334e-11,423.90242875998575,-1.117986383534186e-06,0.00017551211357290085,10.006300779148766
